movie_id,title,release_date,genres
11890,Oscar,1991-04-26,['Comedy']
1649,Bill & Ted's Bogus Journey,1991-07-19,"['Adventure', 'Comedy', 'Science Fiction']"
10537,The Doors,1991-03-01,"['Music', 'Drama', 'History']"
11894,Curly Sue,1991-10-25,"['Comedy', 'Drama', 'Family', 'Romance']"
10617,Once Upon a Time in China,1991-08-15,"['Action', 'Drama']"
468,My Own Private Idaho,1991-02-01,['Drama']
1713,Jungle Fever,1991-06-07,"['Drama', 'Romance']"
174,Star Trek VI: The Undiscovered Country,1991-12-06,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
10249,The Rocketeer,1991-06-21,"['Action', 'Adventure', 'Science Fiction', 'Family']"
37024,Ranma ½: The Movie — The Battle of Nekonron: The Fight to Break the Rules!,1991-11-02,"['Animation', 'Comedy', 'Action', 'Romance']"
11498,Dead Again,1991-08-23,"['Mystery', 'Drama', 'Crime']"
68810,Dragon Ball: The Magic Begins,1991-11-30,"['Action', 'Adventure', 'Fantasy', 'Comedy']"
8222,High Heels,1991-10-23,"['Drama', 'Comedy', 'Crime']"
36679,Godzilla vs. King Ghidorah,1991-12-14,"['Action', 'Adventure', 'Science Fiction']"
10404,Raise the Red Lantern,1991-12-18,['Drama']
2453,Harley Davidson and the Marlboro Man,1991-08-23,"['Action', 'Thriller']"
17467,Riki-Oh: The Story of Ricky,1991-10-05,"['Action', 'Crime', 'Science Fiction']"
290,Barton Fink,1991-08-01,"['Comedy', 'Drama']"
2742,Naked Lunch,1991-12-27,"['Crime', 'Drama']"
12702,Critters 3,1991-12-11,"['Comedy', 'Horror', 'Science Fiction']"
50507,Crazy Safari,1991-07-05,"['Comedy', 'Fantasy']"
12627,La Belle Noiseuse,1991-09-04,['Drama']
16820,F/X2,1991-04-16,"['Action', 'Thriller']"
14362,Out for Justice,1991-04-12,"['Action', 'Crime']"
64348,Robotrix,1991-05-31,"['Action', 'Comedy', 'Crime', 'Romance', 'Science Fiction', 'Thriller']"
15771,Class Action,1991-03-15,"['Drama', 'Crime']"
11504,Suburban Commando,1991-10-04,"['Action', 'Comedy', 'Family', 'Science Fiction']"
11384,The Hard Way,1991-03-08,"['Action', 'Comedy', 'Crime']"
